Product_Number,T일 예정 수주량,T+1일 예정 수주량,T+2일 예정 수주량,T+3일 예정 수주량,T+4일 예정 수주량,작년 T일 예정 수주량,작년 T+1일 예정 수주량,작년 T+2일 예정 수주량,작년 T+3일 예정 수주량,작년 T+4일 예정 수주량,T일 예상 수주량,T+1일 예상 수주량,T+2일 예상 수주량,T+3일 예상 수주량,T+4일 예상 수주량,DateTime,DoW,Temperature,Humidity
Product_ac,0,0,0,2,3,7,3,0,2,0,0,8,6,0,0,2022-03-13 7:04,Sunday,20.76761905,50.01571429
Product_c2,166,130,130,130,0,0,126,126,126,126,126,126,0,126,126,2022-02-25 11:34,Friday,13.66616438,12.7109589
Product_d7,21,11,10,18,20,24,0,11,0,0,0,0,0,0,0,2022-02-10 6:31,Thursday,14.10637367,28.37485424
Product_9a,28,61,50,74,60,0,0,0,44,36,30,13,0,0,25,2022-02-17 6:26,Thursday,10.44060606,12.1330303
Product_b9,127,0,0,11,10,16,21,92,101,0,103,99,159,69,0,2022-03-13 15:38,Sunday,20.76761905,50.01571429
Product_cf,0,0,202,216,223,239,236,258,0,338,337,218,245,96,0,2022-02-17 5:54,Thursday,10.44060606,12.1330303
Product_b9,10,0,39,54,128,102,0,120,111,110,118,59,0,0,0,2022-02-09 11:55,Wednesday,8.872222222,23.94111111
Product_e6,38,20,0,0,17,11,29,0,0,0,0,19,25,24,87,2022-03-06 9:57,Sunday,14.54181818,13.35
Product_c9,208,0,0,57,21,29,42,149,193,0,185,219,367,437,285,2022-03-13 7:06,Sunday,20.76761905,50.01571429
Product_ad,0,0,46,16,35,52,42,50,0,53,32,43,135,196,0,2022-02-16 7:03,Wednesday,12.67357143,13.08071429
Product_cb,323,171,0,0,334,363,384,353,335,332,0,330,341,328,326,2022-03-13 6:31,Sunday,20.76761905,50.01571429
Product_c1,40,27,41,34,51,0,0,101,100,103,95,119,95,0,96,2022-03-10 14:33,Thursday,15.80965789,36.52771053
Product_cc,19,0,12,35,0,0,31,34,34,40,55,103,0,82,5,2022-03-11 6:31,Friday,19.02594855,30.04318328
Product_c1,51,51,0,0,108,54,39,87,119,112,0,125,116,155,131,2022-03-13 12:26,Sunday,20.76761905,50.01571429
Product_df,84,68,68,68,68,0,0,68,68,68,68,68,0,0,68,2022-03-10 6:32,Thursday,15.80965789,36.52771053
Product_a4,0,0,0,0,0,0,0,0,36,1,0,0,0,0,0,2022-02-19 6:29,Saturday,13.72509434,27.18867925
Product_da,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,2022-02-23 6:29,Wednesday,11.64701493,16.43373134
Product_a4,0,0,0,0,0,36,1,0,0,0,0,0,0,0,0,2022-02-21 12:08,Monday,8.996181818,11.62236364
Product_8f,0,0,0,2,0,0,0,0,0,0,2,0,0,4,2,2022-02-19 6:00,Saturday,13.72509434,27.18867925
Product_95,56,42,37,60,82,0,0,45,40,50,38,0,0,6,0,2022-02-19 6:00,Saturday,13.72509434,27.18867925
Product_b6,87,0,0,102,97,60,46,35,0,0,39,9,18,262,142,2022-03-07 16:03,Monday,12.49631579,21.79947368
Product_9d,23,18,18,0,0,18,18,18,18,18,0,0,18,18,18,2022-02-26 7:14,Saturday,14.05785714,20.79178571
Product_dd,0,0,0,0,66,2,0,1,25,0,0,11,3,3,1,2022-02-12 16:30,Saturday,12.16421053,30.45789474
Product_8a,117,0,0,0,0,0,0,0,0,0,107,93,99,99,99,2022-01-30 6:32,Sunday,9.10625,17.95275
Product_8f,2,2,1,15,0,8,2,0,1,1,0,0,0,0,0,2022-03-05 12:01,Saturday,19.718,30.57
Product_af,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2022-02-25 6:30,Friday,13.66616438,12.7109589
Product_9f,209,181,0,149,169,148,131,146,0,0,176,199,200,162,41,2022-02-28 6:59,Monday,12.18428571,21.08571429
Product_9d,51,18,18,18,0,0,0,18,18,18,18,0,0,4,0,2022-02-19 6:00,Saturday,13.72509434,27.18867925
Product_b9,10,17,71,139,0,0,95,121,111,121,85,81,0,0,0,2022-02-10 18:00,Thursday,14.10637367,28.37485424
Product_dc,0,0,0,0,0,10,10,13,155,178,0,0,128,0,43,2022-02-11 11:58,Friday,12.86730769,19.14115385
Product_d4,0,0,0,0,0,0,0,277,229,222,221,219,211,0,213,2022-01-27 6:05,Thursday,10.60122997,30.04681654
Product_85,0,0,0,0,3,3,3,6,14,12,0,0,8,9,6,2022-02-12 17:34,Saturday,12.16421053,30.45789474
Product_f7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-02-23 5:58,Wednesday,11.64701493,16.43373134
Product_c4,29,24,24,38,0,0,0,48,45,45,51,45,0,13,2,2022-02-19 6:29,Saturday,13.72509434,27.18867925
Product_e0,724,662,652,652,0,586,586,586,586,586,0,0,586,586,586,2022-02-26 6:44,Saturday,14.05785714,20.79178571
Product_b3,1,0,0,0,9,15,0,12,9,19,29,5,0,0,0,2022-02-09 8:37,Wednesday,8.872222222,23.94111111
Product_b8,6,0,0,0,0,0,0,0,6,0,13,16,33,0,0,2022-02-07 15:38,Monday,8.561219512,22.85243902
Product_8b,0,1,1,0,48,57,60,58,56,0,0,0,0,0,0,2022-03-06 6:42,Sunday,14.54181818,13.35
Product_9f,200,192,0,187,199,210,210,163,0,0,157,157,164,168,150,2022-03-13 7:04,Sunday,20.76761905,50.01571429
Product_f4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-02-03 6:03,Thursday,9.169761905,18.76190476
Product_c4,0,0,34,50,51,47,44,46,0,51,43,7,3,2,0,2022-02-16 7:03,Wednesday,12.67357143,13.08071429
Product_a8,34,38,26,0,0,29,6,0,0,0,0,0,1,23,0,2022-03-06 6:29,Sunday,14.54181818,13.35
Product_c7,39,38,30,64,0,0,119,111,114,111,124,120,0,77,96,2022-03-11 6:33,Friday,19.02594855,30.04318328
Product_bd,13,20,15,26,6,0,0,0,12,11,25,18,27,0,30,2022-03-10 17:29,Thursday,15.80965789,36.52771053
Product_a8,27,0,0,29,12,0,0,0,0,0,0,15,9,0,0,2022-03-08 7:08,Tuesday,15.33172414,28.03034483
Product_a8,42,27,0,0,28,9,0,0,0,0,0,0,22,2,0,2022-03-06 11:58,Sunday,14.54181818,13.35
Product_d0,16,0,0,5,0,0,30,22,0,0,0,0,0,0,0,2022-03-07 14:31,Monday,12.49631579,21.79947368
Product_8b,0,1,1,1,0,48,57,59,59,56,56,0,0,0,0,2022-03-05 6:36,Saturday,19.718,30.57
Product_de,19,5,18,17,0,0,7,6,9,4,0,0,8,8,4,2022-02-20 6:31,Sunday,10.45040816,20.37428571
Product_ec,92,19,0,0,0,0,13,63,94,89,102,0,0,140,191,2022-02-10 18:00,Thursday,14.10637367,28.37485424
Product_88,285,249,295,283,257,333,0,399,371,456,548,296,216,0,0,2022-03-04 6:36,Friday,15.47233333,24.22916667
Product_e3,264,0,0,44,0,206,293,292,0,0,283,292,289,292,287,2022-03-13 12:34,Sunday,20.76761905,50.01571429
Product_cc,26,0,0,0,13,32,35,27,32,0,20,15,0,17,41,2022-02-21 15:05,Monday,8.996181818,11.62236364
Product_d7,0,0,0,21,19,19,15,19,20,0,19,12,4,0,0,2022-02-01 6:30,Tuesday,8.190540541,19.41513514
Product_f5,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,2022-02-19 6:33,Saturday,13.72509434,27.18867925
Product_ea,30,67,34,0,0,0,12,0,36,32,0,0,0,0,74,2022-03-12 6:39,Saturday,19.509,42.867
Product_92,36,28,27,62,0,92,81,88,56,56,0,0,153,147,96,2022-01-28 6:20,Friday,12.71454545,21.40181818
Product_8c,5,1,0,0,1,1,1,1,1,0,1,1,56,56,56,2022-02-21 15:05,Monday,8.996181818,11.62236364
Product_f0,4,1,0,0,0,0,0,9,0,0,0,0,0,0,0,2022-02-20 8:08,Sunday,10.45040816,20.37428571
Product_dd,0,0,0,0,0,5,2,0,6,0,0,2,1,4,12,2022-02-27 6:33,Sunday,16.35078947,25.96671053
Product_c6,763,677,707,0,0,671,663,648,651,637,0,0,726,756,735,2022-03-05 6:36,Saturday,19.718,30.57
Product_c3,132,0,0,0,0,0,0,182,208,0,137,145,168,181,179,2022-01-30 6:32,Sunday,9.10625,17.95275
Product_8c,16,0,0,1,1,1,1,1,1,0,1,1,1,1,1,2022-03-13 6:32,Sunday,20.76761905,50.01571429
Product_b9,60,52,0,0,0,89,60,105,117,58,0,116,181,139,155,2022-02-21 6:04,Monday,8.996181818,11.62236364
Product_be,24,19,36,17,0,0,17,43,54,58,35,0,0,0,0,2022-03-04 11:57,Friday,15.47233333,24.22916667
Product_8b,5,1,0,1,1,56,56,56,56,0,56,46,5,0,0,2022-02-28 6:38,Monday,12.18428571,21.08571429
Product_f6,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2022-02-27 6:32,Sunday,16.35078947,25.96671053
